up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,omie_page
CEVD466,FV. VALDEFUENTE,S 2,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD467,FV. CRUZ,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD468,FV. CUBILLAS,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD469,FV. VALMOJADO,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD470,FV. VALDEYEGUAS,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD471,FV. ZORITA,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD472,FV. COLON,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD473,FV. PALOMARES,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD475,FV. NUMANCIA SOL,AR 1,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD476,FV. LAS ROZAS SO,LAR,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,22
CEVD477,C.H. ARROYO POZO,S,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,22
CEVD478,BIOARTIGAS,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,22
CEVD479,C.H. CAMPOSOLILL,O,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,22
CEVD480,C.H. BOCANA DEL C,ASAR,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,22
CEVD481,C.H. CERRATO,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,22
CEVD482,C.H. GORGOL,,ENERGYA VM GEN,ERACIÓN,(ACT.,COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,22
