codigo_de_sujeto,nombre,codigo_eic,tipo_de_sm
ESBUS,ESTACION AUTOBUSES ZARAGOZA,18X0000000005T7L,Consumidor directo mercado
EPILA,ESTAMPACIONES METALICAS EPILA,18X000000000LEYM,Consumidor directo mercado
ETNER,ETER ENERGIA SL,18X000000000IVL9,Comercializador
URAIV,EVOLVE ENERGIA SL,18X000000000HVP5,Comercializador
EXISC,EXIS COMPONENT S.L.,18X000000000PGIW,Consumidor directo mercado
TEXOR,FABRICA FORRERIA,18XTEXOR-12345-S,Consumidor directo mercado
SEDAT,FABRICA TELA,18X000000000GOH9,Consumidor directo mercado
RENSP,FALCK NEXT ENERGY SRL SPAIN SUCURSAL,18X000000000P1VE,Representante
FASTL,FASTLIGHT S.L,18X000000000PB8U,Comercializador
FEED,FEED ENERGIA,18X000000000JFCY,Comercializador
FEMCV,FEMCV,18XFEMUSEROSSCV3,Comercializador
FENER,FENERGAS ENERGIA SL,18X000000000PILK,Comercializador
FEN,FENIE ENERGIA,18XFENIEENERGIAX,Comercializador
FLAMA,FLAMAGAS LLINARS SLU,18X000000000AJ7V,Consumidor directo mercado
FECII,FLUID ELECTRIC CAMPRODON II S,18XFECII-12345-R,Comercializador
FEDA,FORCES ELECTRIQUES D ANDORRA,18XFEDA-123456-4,Comercializador
FORTE,FORESTA TERRENOS,18XFORESTATERREK,Consumidor directo mercado
FORTU,FORTULUZ COMERCIALIZACION,18XFORTULUZ----4,Comercializador
FORZA,FORZAVSUNAIR,18X000000000762I,Comercializador
FOX,FOX ENERGIA,18XFOX-1234567-J,Comercializador
OLLER,FRANCISCO OLLER SA,18X000000000CQ2C,Consumidor directo mercado
FRANK,"FRANK ENERGIA IBERIA, S.L.",18X000000000P33R,Comercializador
FUSEE,FUSE ENERGY IBERICA SL,18X000000000PAGH,Comercializador
FUTGR,FUTURA GREEN RENOVABLES,18XFUTGR-12345-V,Productor
GABAC,GABA COMERCIALIZADORA DE ELECTRICIDAD SLU,18X000000000MEVO,Comercializador
GGLOB,GAIA GLOBAL ENERGY SL,18XGGLOB-12345-5,Consumidor directo mercado
