codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up,potencia_maxima_mw
SUNCC01,18W000000000FSM5,SUNCAPEN,SUNCA PENINSULA,Comercializadores mercado libre,SUNCA,SUNCC01,"0,1"
SUNFC01,18W000000000QE26,SUNFC01,COMPRA ALDERAAN,Comercializadores mercado libre,SUNFL,SUNFC01,"1,0"
SUNHC01,18W-SUNHC01----V,SUNAIRHOME,SUNAIR ONE HOME,Comercializadores mercado libre,SUNHO,SUNHC01,"0,1"
SUNO1,18W000000000U1SE,SUNO1,FV SUNO1,Solar fotovoltaica,CEG,FSUNO1,"15,9"
SUNO2,18W000000000U1UA,SUNO2,FV SUNO 2,Solar fotovoltaica,CEG,FSUNO2,"10,0"
SUNPC01,18W000000000OUPV,UP SUNPS,UP SUN POWER 365,Comercializadores mercado libre,SUNPS,SUNPC01,"0,1"
SUPFOS,18W000000000V35D,SUPFOS,SUPFOS,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
SUPRC01,18W000000000U38B,SELECTRA,SUMINISTROS PROPIOS ENERGIA,Comercializadores mercado libre,SUMIA,SUPRC01,"1,0"
SUS1,18WSUS1-12345-AP,SUSQUEDA 1,SUSQUEDA 1,Embalse,ENDG,TERE,"38,5"
SUS2,18WSUS2-12345-AF,SUSQUEDA 2,SUSQUEDA 2,Embalse,ENDG,TERE,"36,3"
SUS3,18WSUS3-12345-A5,SUSQUEDA 3,SUSQUEDA 3,Embalse,ENDG,TERE,"13,3"
SVIRGEN,18WSVIRGEN-12-EK,SVIRGEN,P.E. SIERRA DE LA VIRGEN,Eólica terrestre,ECYR,EREGPEM,"28,8"
SVOLTOR,18WSVOLTOR-123-T,SERRA VOLT,PE SERRA VOLTORERA,Eólica terrestre,NEXU,EVOLTOR,"16,0"
SWAPC01,18W-SWAPC01-8--V,SWAPENERGI,SWAP ENERGIA,Comercializadores mercado libre,SWAPE,SWAPC01,"0,1"
SXOAN,18WSXOAN-1234-EG,SXOAN,SXOAN,Eólica terrestre,EGED,EGREEN,"15,8"
SYEEXXI,18W-SYEEXXI-9--7,SYEEXXI,"END CUR  ( TARIFA, SOLAR TERMI",Solar térmica,EEXXI,SYEEXXI,"0,0"
