up_code,up_name_final,legal_entity,group_name,group_confidence,ownership_pct,ownership_pct_numeric,owner_count,technology,unit_type_omie,zone_omie,uf_count,uf_codes,uf_names,subject_code,mapping_source,group_source_url
ACE4,ACECA 4 UF,GAS NATURAL COMERCIALIZADORA,Naturgy,verified_corporate,100,100.0,1,Ciclo Combinado,GENERACION,ZONA ESPAÑOLA,1.0,ACE4,ACECA4,GNCC,eSIOS UP + OMIE exact code + eSIOS UF,https://www.naturgy.com/app/uploads/2025/02/CCAA-Individuales-y-Consolidadas-NATURGY-2024.pdf
ACENC01,ACENORCA,ACENORCA,,,,,1,Consumos directos en mercado,,,1.0,ACENC01,ACENORCA,ACENO,eSIOS UP + OMIE exact code + eSIOS UF,
ACHEC01,CHERA,"ELECTRICA DE CHERA, S.C.V.",,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ACHEC01,CHERA,ACHER,eSIOS UP + OMIE exact code + eSIOS UF,
ACNHC01,ACNHC01,ACENHOL ENERGIA SL,,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ACNHC01,ACNHC01,ACENH,eSIOS UP + OMIE exact code + eSIOS UF,
ACNVD01,ACNVD01,ACENHOL ENERGIA SL,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ACNVD02,ACNVD02,ACENHOL ENERGIA SL,,,100,100.0,1,RE Mercado Eólica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ACOSC01,ACOSC01,ACOS T IBERICA SL,,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ACOSC01,ACOSC01,ACOST,eSIOS UP + OMIE exact code + eSIOS UF,
ACRSC02,COMERCIALIZAÇÃO,"ACROSSCAPACITY, LDA",,,100,100.0,1,Comercializador,COMERCIALIZADOR,ZONA PORTUGUESA,,,,,OMIE exact unit code,
ACRSV02,AGREGAÇÃO,"ACROSSCAPACITY, LDA",,,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,
ACSOC01,ACSOL,"ACSOL ENERGIA GLOBAL, S.A.",,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ACSOC01,ACSOL,ACSOL,eSIOS UP + OMIE exact code + eSIOS UF,
ACTIC01,ACTIC01UN1,ACTIVA COMERCIALIZADORA DE ENERGIA S.L.,,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ACTIC01,ACTIC01UN1,ACTIV,eSIOS UP + OMIE exact code + eSIOS UF,
ADEIC01,ADEINNOVA,ADEINNOVA ENERGIA,,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ADEIC01,ADEINNOVA,ADEIN,eSIOS UP + OMIE exact code + eSIOS UF,
ADEIV01,ADEIV01,ADEINNOVA ENERGIA S.L,,,,,1,Solar fotovoltaica,,,1.0,ADEIV01,FYNEXU,ADEIN,eSIOS UP + OMIE exact code + eSIOS UF,
ADELC01,ADELFAS,ADELFAS ENERGIA SL,,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ADELC01,ADELFAS,ADELF,eSIOS UP + OMIE exact code + eSIOS UF,
ADERE01,ADEINNOVA VENTA,ADEINNOVA ENERGIA,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADOURO,HIDRO DOURO TOTAL,EDP GEM PORTUGAL S.A.,EDP,derived_from_legal_name,100,100.0,1,Hidráulica Generación,GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.edp.com/
ADOUROB,BOMBA DO DOURO,EDP GEM PORTUGAL S.A.,EDP,derived_from_legal_name,100,100.0,1,Consumo Bombeo Mixto,BOMBEO,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.edp.com/
ADREC02,AUDAX COMPRA PORTUGAL,AUDAX RENOVABLES S.A.,,,100,100.0,1,Comercializador,COMERCIALIZADOR,ZONA PORTUGUESA,,,,,OMIE exact unit code,
ADREV02,CENTRAL FOTOVOLTAICA OURIKA,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,
ADSEC01,ADSEC01,ADS ENERGY 8.0 SL,,,,,1,Comercializadores mercado libre,,,1.0,ADSEC01,ADSEC01,ADSSM,eSIOS UP + OMIE exact code + eSIOS UF,
ADSNC01,ADS,ADS ENERGIA,,,,,1,Comercializadores mercado libre,,,1.0,ADSNC01,ADS,ADSEN,eSIOS UP + OMIE exact code + eSIOS UF,
ADURC01,ADURIZ E,ADURIZ ENERGÍA SLU,,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ADURC01,ADURC01,ADUR,eSIOS UP + OMIE exact code + eSIOS UF,
