uf_code,uf_name,up_code,subject_code,technology_esios
KVASCP3,KVCOMP,KVASCP3,KVASI,Importación Francia
KVASVP3,KVVENT,KVASVP3,KVASI,Exportación Francia
KWFC01,KWFI,KWFC01,KWFVI,Comercializadores mercado libre
LABA,LA BAELLS,EBRFEN,ENDG,Embalse
LABAS,LABAS,HFIBGES,IBGES,Fluyente
LABOC01,LABOIL CC,LABOC01,LABOI,Comercializadores mercado libre
LABRA,LABRA,EHIBGES,IBGES,Eólica terrestre
LABRADO,LABRADO,RWESZN,HISPE,Eólica terrestre
LACABRI,LACABRITA,FLACAB,HISPE,Solar fotovoltaica
LACAYA,LACAYA,EMTORR,EGLE,Eólica terrestre
LACOC01,LA CORRIEN,LACOC01,LACOR,Comercializadores mercado libre
LACUES,LACUES,EGASNE0,GNCO,Eólica terrestre
LACUEST,LACUEST,HCGSCSA,HC G,Eólica terrestre
LADYC01,ES-LADYWAR,LADYC01,LADYW,Comercializadores mercado libre
LAESTAN,LA ESTANCA,EREGPEV,ECYR,Eólica terrestre
LAF1,LAFORTUN 1,EBRACC1,ENDG,Embalse
LAF2,LAFORTUN 2,EBRACC1,ENDG,Embalse
LAF3,LAFORTUN 3,EBRACC1,ENDG,Embalse
LAF4,LAFORTUN 4,EBROF,GNRA,Embalse
LAF5,LAFORTUN 5,EBROF,GNRA,Embalse
LAFTORE,FLTORRE,FLTORRE,GESTE,Solar fotovoltaica
LAG,LA GOTERA,DUER,IBEG,Fluyente
LAGAV01,LAGAVARRA,LAGAV01,CENTS,Solar fotovoltaica
LAGOS,LAGOS,HCGSCSA,HC G,Eólica terrestre
LAGUNAS,LAGUNAS,FKALEL,EGLE,Solar fotovoltaica
LAHERRE,LAHERRE,METEV07,METEN,Solar fotovoltaica
LAHUESA,LAHUESA,EHIBGES,IBGES,Eólica terrestre
LAISA,LAISA,TRLE,EGLE,Gas natural cogeneración
LAISA1,LAISA1,TRLE1,EGLE,Gas natural cogeneración
LALBT,LALBT,FVGNRA,GNRA,Solar fotovoltaica
LALCON,LALCON,EGASNE0,GNCO,Eólica terrestre
LALMEND,LALMEND,EGREEN,EGED,Eólica terrestre
LALOMA,LALOMA,RLALOM,ENCEG,Biomasa
LALOMBA,LALOMBA,ELODOS,EGLE,Eólica terrestre
LAMESA,LAMESA,EBURGE,BURGE,Eólica terrestre
LAMPC01,LAMPYRIS,LAMPC01,LAMPY,Comercializadores mercado libre
LAMR,MORCA,EBRACC1,ENDG,Fluyente
