codigo_de_up,descripcion_corta,descripcion_larga,codigo_eic,tipo_de_produccion,negocio,ambito_de_actuacion,zona_de_regulacion,tipo_de_up,sujeto_del_mercado,potencia_maxima_mw
UPARCOH,UPARCOH,UPARCOH,18W000000000R78B,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"42,0"
UPARENA,UP ARENOSA,UP FV ARENOSAS,18W000000000QQST,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"43,5"
UPARM,UPARM,UPARM,18W000000000TRIY,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"200,0"
UPARN1,UPARN1,UPARN1,18W000000000T0TJ,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"8,0"
UPARN2,UPARN2,UPARN2,18W000000000T0UH,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"8,0"
UPARN3,UPARN3,UPARN3,18W000000000T0QP,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"8,0"
UPARN4,UPARN4,UPARN4,18W000000000T0SL,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"6,0"
UPARRO,ARROYADAS,UP FV LAS ARROYADAS,18W000000000RBP2,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"30,0"
UPATLE,UPATLE,UPATLE,18W000000000V0U9,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"36,3"
UPATOMI,ATOMIZADAS,COGENERACIN NUEVAS ATOMIZADAS,18W000000000QGJ3,Gas Natural Cogeneración,Venta,España,SZR,Generación,IGNIS,"4,8"
UPAYM,UPAYM,UPAYM,18W000000000TMST,Eólica terrestre,Venta,España,SZR,Generación,GNRA,"25,0"
UPAZU,UPAZU,UPAZU,18W000000000UXQX,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"1,7"
UPBAD1,UPBADAJOZ1,UP BADAJOZ 1,18W000000000TIS4,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,6"
UPBAD2,UPBADAJOZ2,UP BADAJOZ 2,18W000000000SWA2,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,6"
UPBAD3,UPBADAJOZ3,UP BADAJOZ 3,18W000000000TMGG,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,6"
UPBAD4,UPBADAJOZ4,UP BADAJOZ 4,18W000000000SWYS,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,6"
UPBAD5,UPBADAJOZ5,UP BADAJOZ 5,18W000000000TMIC,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,6"
UPBAD6,UPBADAJOZ6,UP BADAJOZ 6,18W000000000TIU0,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,6"
UPBAD7,UPBADAJOZ7,UP BADAJOZ 7,18W000000000SUFZ,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"24,9"
UPBADF,UPBADF,UPBADF,18W000000000UPX6,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"5,0"
UPBADJ,UPBADJZ,UP BADAJOZ ALCONCHEL 2020,18W000000000UWXM,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"10,0"
UPBALU,UPBALUARTE,UP BALUARTE SOLAR,18W000000000U3W0,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"35,3"
UPBAOB,UPBAOBAB,UP BAOBAB SOLAR,18W000000000SOTP,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"81,2"
UPBARR,UP BARRAN,UP PSF BARRANQUILLA,18W000000000SKJK,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"40,0"
UPBAYWA,ALHENDIN 2,UP FV ALHENDIN II,18W000000000ROFK,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"4,0"
UPBEL3,BELINCHON3,BELINCHON III,18W000000000RDTP,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,2"
UPBELII,BELINCHON2,BELINCHON II,18W000000000RDSR,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,2"
UPBELOR,BELORADO,COGENERACIN BELORADO,18W000000000QGI5,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,IGNIS,"19,7"
UPBERRO,UP BERROCA,UP BERROCA-FERROVIAL,18W000000000Q4QP,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"44,1"
UPBLAN,UPBLAN,UPBLAN,18W000000000SQJ2,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"6,0"
UPBOMB,UPBOMBARDA,UP BOMBARDA SOLAR,18W000000000U3U4,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"35,3"
UPBON2,UPBON2,UPBON2,18W000000000R5KU,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"39,6"
UPBON3,UPBON3,UPBON3,18W000000000R5LS,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"36,7"
UPBON4,UPBON4,UPBON4,18W000000000R5MQ,Solar fotovoltaica,Venta,España,GN3 ,Generación,GNRA,"39,6"
UPBONPR,UPBONPR,UPBONPR,18W000000000SK85,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,BNPRU,"2,0"
UPBRAZA,UP BRAZATO,UP ELAWAN FOTOVOLTAICA BRAZATORTAS 220 SL,18W000000000S7FU,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"44,1"
UPBRAZO,BRAZOINVES,UP BRAZOINVES I,18W000000000RYR3,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"30,0"
UPBRILE,BRILEN,COGENERACIN BRILEN,18W000000000QGH7,Gas Natural Cogeneración,Venta,España,SZR,Generación,IGNIS,"24,7"
UPBUS,UPBUS,UPBUS,18W000000000T08O,Eólica terrestre,Venta,España,SZR,Generación,GNRA,"50,0"
UPCABEZ,UP CABEZO,UP CABEZO,18W000000000RDDK,Eólica terrestre,Venta,España,IGE ,Generación,IGNIS,"49,4"
UPCAM1,UPCAM1,UPCAM1,18W000000000SILM,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"50,0"
UPCAM5,UPCAM5,UPCAM5,18W000000000SIMK,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"50,0"
UPCAMI,UPCAMCRUZ,UP CAMINO DE LA CRUZ,18W000000000UHKJ,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"43,5"
UPCARB,UPCARBESO,UP CARBESO SOLAR,18W000000000UHGR,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,3"
UPCARTU,UPCARTU,UPCARTU,18W000000000V50H,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"40,0"
UPCASI,UPCASILLA,UP CASILLA SOLAR,18W000000000UOZ5,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"45,0"
