codigo_de_up,descripcion_corta,descripcion_larga,codigo_eic,tipo_de_produccion,negocio,ambito_de_actuacion,zona_de_regulacion,tipo_de_up,sujeto_del_mercado,potencia_maxima_mw
TPIBCUR,TPIBCUR,"IBERDROLA CUR  (  TERMICA NO RENOVABLE, PRUEBAS)",18WTPIBCUR-123-Q,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,IBCUR,"2,0"
TPIBGES,TPIBGES,UP CARBALLO,18W000000000PNPB,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,IBGES,"13,1"
TPIERO,TPIERO,PIEROLA 1MW AE GASOLEO,18W00000000018WR,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,CEG,"4,4"
TPLACG,TPLACG,TPLACG,18WTPLACG-123--6,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,PLACG,"8,3"
TPLAST,TPLAST,UNIDAD DE PROGRMACIÓN PLASTIVERD,18WTPLAST-1234-2,Gas Natural Cogeneración,Venta,España,SZR,Generación,AME,"7,3"
TPODEBO,TPODEBO,PODEBO RDL 17_2022,18W000000000OIL1,Gas Natural Cogeneración,Venta,España,SZR,Generación,CEG,"0,5"
TPYC2,TPYC2,18WTPYC2-12345-M,18WTPYC2-12345-M,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"8,8"
TPYCE,TPYCE,18WTPYCE-1234-12,18WTPYCE-1234-12,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"9,9"
TPYSA,TPYSA,18W0000000000IPF,18W0000000000IPF,Gas Natural Cogeneración,Venta,España,AXC ,Generación,EGLE,"34,9"
TRADC01,COMPENERGI,COMPRAENERGIAGRUPO,18W000000000GMIR,Consumos directos en mercado,Compra,España,SZR,Consum. directos a mercado,TRADB,"11.136,0"
TRC2,TRC2,TRC2,18WTRC2-123456-U,Hidráulica UGH,Venta,España,SZR,Generación,WMARK,"0,9"
TRCD,TRCD,TRCD,18WTRCD-123456-V,Hidráulica UGH,Venta,España,SZR,Generación,WMARK,"2,2"
TRECKIT,TRECKIT,TRECKIT,18W000000000NOW2,Gas Natural Cogeneración,Venta,España,SZR,Generación,DETIC,"3,6"
TRELECO,TRELECO,RELECO DERIV PET AE 1MW,18W0000000001U3J,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,CEG,"4,7"
TREPP,TREPP,"REPSOL PETROLEO (TARIFA, NO RENOVABLE)",18WTREPP-12345-T,Gas Natural Cogeneración,Venta,España,SZR,Generación,REPP,"40,8"
TRICC01,TRICLINIUM,TRICLINIUM INVERSIONES SL,18W000000000SESK,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,TRICL,"0,6"
TRIPCX1,TRIPCX1,TRIPCX1,18W000000000STZZ,Porfolio,Compra,España,SZR,Unidades porfolio,TRISO,"9.999,0"
TRIPVX1,TRIPVX1,TRIPVX1,18W000000000SU1Q,Porfolio,Venta,España,SZR,Unidades porfolio,TRISO,"9.999,0"
TRL1,TRILLO,C.N. TRILLO,18WTRL1-12345-0Y,Nuclear,Venta,España,SZR,Generación,IGNU,"1.003,4"
TRLE,TRLE,18WTRLE-123456-X,18WTRLE-123456-X,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"10,2"
TRLE1,TRLE1,UP MECANISMO AJUSTE RLESG,18W000000000NSDS,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"4,0"
TRODO2,TRODO2,18WTRODO2-1234-J,18WTRODO2-1234-J,Híbrida renovable-térmica no renovable,Venta,España,SZR,Generación,EGLE,"6,8"
TRODON,TRODON,18WTRODON-123--E,18WTRODON-123--E,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"6,8"
TRPCAR2,TREPP2,REPSOL CARTAGENA 2,18WTRPCAR2-123-L,Gas Natural Cogeneración,Venta,España,SZR,Generación,REPP,"39,9"
TSALIA,TSALIA,SALIANA DERIV PET AE 1MW,18W0000000001U1N,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,CEG,"7,1"
TSALONI,TSALONI,UP COGENERACION SALONI,18W000000000NL5S,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"4,4"
TSANTA,TSANTA,UP SANTANDERINA,18W000000000NMAF,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"4,5"
TSANTG,TSANTG,18WTSANTG-1234-F,18WTSANTG-1234-F,Gas Natural Cogeneración,Venta,España,ENCE ,Generación,SANTG,"12,8"
TSAVA,TSAVA,SAVA T,18W000000000O38Z,Gas Natural Cogeneración,Venta,España,EBC ,Generación,COGEN,"15,0"
TSEPIOL,SEPIOL,SEPIOLSA,18WTSEPIOL-123-4,Gas Natural Cogeneración,Venta,España,SZR,Generación,AME,"5,2"
TSERVI,TSERVI,18WTSERVI-1234-8,18WTSERVI-1234-8,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"14,2"
TSIRUS,TSIRUS,SERVEI DINCINERACIÓ DELS RESIDUS URBANS ( T ),18WSIRUSA------6,Residuos domésticos y similares,Venta,España,SZR,Generación,SIRUS,"7,4"
TSLQ,TSLQ,UNIDAD DE PROGRMACIÓN DE SULQUISA,18WTSLQ-12345-1T,Gas Natural Cogeneración,Venta,España,SZR,Generación,AME,"14,8"
TSMAJAD,TSMAJADAS,TS MAJADAS,18W000000000TXHI,Solar térmica,Venta,España,SZR,Generación,WMARK,"50,0"
TSMURES,TSMURES,SMURFIT KAPPA ESPANA,18W0000000005WNV,Gas Natural Cogeneración,Venta,España,SZR,Generación,WMARK,"24,7"
TSOGAM,TSOGAM,SOGAMA S.A. (T),18WTSOGAM-123-1S,Gas Natural Cogeneración,Venta,España,SZR,Generación,WMARK,"21,2"
TSOLC01,TSOL_UPC01,TELEFONICA SOLUCIONES (UNIDAD PROGRAMACION COMERCIALIZACION),18WTSOLUCIONES02,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,TSOL,"75,0"
TSOLVAI,TSOLVAY I,TSOLVAY I,18W00000000029FH,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,REPSB,"47,0"
TSOLVAY,TSOLVAYII,TSOLVAYII,18W00000000029GF,Gas Natural Cogeneración,Venta,España,SZR,Generación,REPSB,"42,0"
TSORELL,TSORELLANA,TS ORELLANA,18W000000000TXFM,Solar térmica,Venta,España,SZR,Generación,WMARK,"49,9"
TSPALMA,PALMARIO,TS PALMA DEL RIO,18W000000000TXCS,Solar térmica,Venta,España,SZR,Generación,WMARK,"100,0"
TSRDCP3,TSRDCP3,TSRDE EXPORT,18W000000000IJ1P,Exportación Francia,Compra,Francia-España,SZR,Comercializador internacional,TSRDE,"500,0"
TSRDVP3,TSRDVP3,TSR DE IMPORT UNIT,18W000000000IJ0R,Importación Francia,Venta,Francia-España,SZR,Comercializador internacional,TSRDE,"500,0"
TSRISCA,TSRISCA,TS LA RISCA,18W000000000TXIG,Solar térmica,Venta,España,SZR,Generación,WMARK,"50,0"
TSTENBA,TSTENBA,18WTSTENBA-123-B,18WTSTENBA-123-B,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"46,0"
TTABLER,TTABLER,"TABLER ( NO RENOVABLE,TARIFA,NO EXENTO )",18WTTABLER-123-2,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,WMARK,"24,8"
TTARBA,TTARBA,TARBA T,18W000000000JYRZ,Residuos varios,Venta,España,SZR,Generación,GEMSL,"8,1"
TTBAYPO,TTBAYPO,TTBAYPO,18W000000000JGNN,Gas Natural Cogeneración,Venta,España,SZR,Generación,DETIC,"14,5"
TTECGA,TTECGA,18W00000000078V5,18W00000000078V5,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"7,3"
TTECQU,TTECQU,TECNICAS DE COGENERACIÓN DE QUART ( T ),18WTTECQU-1234-L,Gas Natural Cogeneración,Venta,España,IGNIS ,Generación,IGNIS,"7,3"
TTFANOI,TFANOIA,TARIFA>10 ANOIA,18WTTFANOI-123-X,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"13,8"
TTFCONF,TFCONFIREL,TARIFA>10 CONFIREL,18WTTFCONF-123-X,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"11,9"
TTFGALL,TFGALLREGA,TARIFA>10 GALLREGA,18WTTFGALL-123-J,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"14,8"
TTFMOTR,TFMOTRIL,TARIFA>10 COG.MOTRIL,18WTTFMOTR-123-N,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"48,8"
TTFTPSJ,TTFTPSJ,TARIFA>10 COG.TPSJOAN,18WTTFTPSJ-123-8,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"24,9"
TTFTPZG,TFTPZG,TARIFA>10 TPZARAGOZA GAS,18WTTFTPZG-123-A,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"23,6"
TTFTREN,TFTRENCA,TARIFA>10 TRENCA,18WTTFTREN-123-0,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"13,4"
TTIBGES,COG PETROL,COGENERACION PETROLEO,18WTTIBGES-123-Q,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,IBGES,"18,0"
TTINTS,TTINTS,18W0000000009YMB,18W0000000009YMB,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"2,0"
TTOLSA,TTOLSA,TOLSA - TARIFA>10MW,18WTTOLSA-1234-0,Gas Natural Cogeneración,Venta,España,SZR,Generación,CEG,"12,5"
TTOVAG,TTOVAG,18WTTOVAG-1234-E,18WTTOVAG-1234-E,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"22,9"
TTRACTA,TTRACTA,TTRACTA,18W000000000RCTS,Biogás,Venta,España,SZR,Generación,DETIC,"1,3"
TTRAJUN,TTRAJUN,TTRAJUN,18W000000000RCVO,Gas Natural Cogeneración,Venta,España,SZR,Generación,DETIC,"15,0"
TTROYO,TTROYO,UP COG ROYO,18W000000000OI9P,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"1,0"
TTUDELA,TTUDELA,UP CIUDAD AGROALIMENTARIA TUDELA,18WTTUDELA-12--B,Gas Natural Cogeneración,Venta,España,SZR,Generación,GNRA,"9,9"
TUELC01,UP TUELE,UP TU ELECTRICA,18W000000000OGZG,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,TUELE,"0,1"
TUEMADE,TUEMADE,"UEMADE ( NO RENOVABLE,TARIFA,NO EXENTO )",18WTUEMADE-123-Y,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,WMARK,"14,7"
TUFICS,TUFICS,UNIDAD DE PROGRAMACIÓN DE UFICSA,18WTUFICS-1234-6,Gas Natural Cogeneración,Venta,España,SZR,Generación,AME,"32,5"
TUSARGO,TUSARGO,UP USARGOITI,18WTUSARGO-123-C,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,GNRA,"1,9"
TUTETEM,GTA2UTETEM,UP GTA2 UTE TEM,18WTUTETEM-123-A,Residuos domésticos y similares,Venta,España,SZR,Generación,UTTEM,"13,1"
TUTISA,TUTISA,UTISA - TARIFA>10MW,18WTUTISA-123-1B,Gas Natural Cogeneración,Venta,España,SZR,Generación,CEG,"10,0"
TVALPBA,TVALPBA,TERMICA VALPUREN BANUELO,18WTVALPBA-123-M,Gas Natural Cogeneración,Venta,España,EBC ,Generación,COGEN,"16,5"
TVCOMAT,TVCOMAT,VALPUREN COMAT TERMICA,18WTVCOMAT-123-K,Gas Natural Cogeneración,Venta,España,EBC ,Generación,COGEN,"16,5"
TVGARR,TVGARR,UP RE-3886   2,18W000000000RC36,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"15,0"
TVGNRA2,TVGNRA2,TVGNRA2,18W000000000LUKG,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,GNRA,"3,2"
TWAME,TWAME,TWAME - CHP NO ALTA EFICIENCIA POT SUPERIOR 1 MW,18W00000000005D4,Gas Natural Cogeneración,Venta,España,SZR,Generación,AME,"2,6"
TWART2,TWART2,UP WARTSILA 2,18W0000000005DNE,Energía residual,Venta,España,SZR,Generación,AME,"13,0"
TWARTS,TWARTS,WARTSILA IBERICA ( T ),18WTWARTS-1234-G,Energía residual,Venta,España,SZR,Generación,WARTS,"14,9"
TYAME,TYAME,"AME ( NO RENOVABLE, TARIFA, NO EXENTO)",18WTYAME-12345-7,Gas Natural Cogeneración,Venta,España,SZR,Generación,AME,"8,1"
TYCEG,TYCEG,"CEG (TARIFA, NO RENOVABLE, NO EXENTO)",18WTYCEG-12345-A,Gas Natural Cogeneración,Venta,España,SZR,Generación,CEG,"4,4"
TYEEXXI,TYEEXXI,"ENDESA CUR  ( TARIFA, TERMICA NO RENOVABLE, NO EXENTA)",18WTYEEXXI-123-4,Gas Natural Cogeneración,Venta,España,SZR,Generación,EEXXI,"62,7"
TYEGLE,TYEGLE,"EGLE (TARIFA, NO RENOVABLE, NO EXENTO)",18WTYEGLE-1234-K,Gas Natural Cogeneración,Venta,España,SZR,Generación,EGLE,"3,0"
TYEONUR,TYEONUR,"E.ON CUR ( TARIFA, TERMICA NO RENOVABLE, NO EXENTA)",18WTYEONUR-123-T,Gas Natural Cogeneración,Venta,España,SZR,Generación,EONUR,"6,7"
TYESYF,TYESYF,YESYFORMA T,18W000000000GMOF,Gas Natural Cogeneración,Venta,España,SZR,Generación,GEMSL,"1,5"
TYGEMSL,TYGEMSL,TARIFA VENTA GEM NO RENOVABLE,18WTYGEMSL-123-Q,Gas Natural Cogeneración,Venta,España,SZR,Generación,GEMSL,"3,9"
TYGENER,TYGENER,"GENER ( NO RENOVABLE, TARIFA, NO EXENTO)",18WTYGENER-123-D,Gas Natural Cogeneración,Venta,España,SZR,Generación,ADXRE,"0,9"
TYGNRA,TYGNRA,"GNRA ( TARIFA, NO RENOVABLE,NO EXENTO)",18WTYGNRA-1234-H,Gas Natural Cogeneración,Venta,España,SZR,Generación,GNRA,"3,4"
TYGNSUR,TYGNSUR,"GAS NATURAL SUR SDG ( TARIFA, TERMICA NO RENOVABLE, NO EXENTA)",18WTYGNSUR-123-9,Gas Natural Cogeneración,Venta,España,SZR,Generación,GNSUR,"36,5"
TYHCCUR,TYHCCUR,"HIDROCANTABRICO CUR ( TARIFA,TERMICA NO RENOVABLE, NO EXENTA)",18WTYHCCUR-123-U,Gas Natural Cogeneración,Venta,España,SZR,Generación,HCCUR,"6,0"
TYHCG,TYHCG,VENTA COGENERACIONES Y MICROS,18W000000000CRQC,Gas Natural Cogeneración,Venta,España,SZR,Generación,HC G,"0,0"
TYIBCUR,TYIBCUR,"IBERDROLA CUR  ( TARIFA, TERMICA NO RENOVABLE, NO EXENTA)",18WTYIBCUR-123-T,Gas Natural Cogeneración,Venta,España,SZR,Generación,IBCUR,"118,1"
TYLAUE3,TYLAUE3,UP COGENERACION CREVILLENTINA,18W000000000R1DJ,Derivados del petróleo ó carbón,Venta,España,SZR,Generación,LAUEI,"9,2"
TYLMER,TYLMER,"LONJAS Y MERCADOS (TARIFA, NO EXENTO, NO RENOVABLE)",18WTYLMER-1234-R,Gas Natural Cogeneración,Venta,España,SZR,Generación,LMER,"28,6"
TYNEXU,TYNEXU,"NEXUS ENERGÍA ( TARIFA, NO RENOVABLE, NO EXENTO)",18WTYNEXU-1234-1,Gas Natural Cogeneración,Venta,España,SZR,Generación,NEXU,"7,7"
TYTERSA,TERSATERM,TERSA TERMICA PVE,18W0000000007ANF,Residuos domésticos y similares,Venta,España,SZR,Generación,TERSA,"31,7"
TYTRDB,PRODUCCION,PRODUCCION ENERGIA RESIDUOS,18W000000000HJHY,Biogás,Venta,España,SZR,Generación,TRADB,"5,0"
TYWMARK,TYWMARK,COGENERACION SIN UF,18WTYWMARK-123-4,Gas Natural Cogeneración,Venta,España,SZR,Generación,WMARK,"3,8"
TZAME,TZAME,TZAME,18WTZAME-12345-W,Gas Natural Cogeneración,Venta,España,SZR,Generación,AME,"12,1"
TZAME2,TZAME2 TG,TZAME2 TOPADO GAS,18W000000000NPZU,Gas Natural Cogeneración,Venta,España,SZR,Generación,AME,"4,3"
UBORC01,UBORA,UBORA ENERGIA SOCIAL SL,18W000000000V581,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,UBORA,"1,0"
UFBB,BOLARQUE B,C.H.B. BOLARQUE BOMBEO,18WUFBB-12345-0R,Consumo bombeo,Compra,España,SZR,Consumo bombeo,GNFG,"208,0"
UFBG,BOLARQUE G,C.H. BOLARQUE GENERACION,18WUFBG-12345-0E,Turbinación bombeo,Venta,España,NTG ,Generación,GNFG,"215,0"
UFGC,GNF GALCOS,UGH. GNF-GALICIA COSTA,18WUFGC--1234-00,Hidráulica UGH,Venta,España,NTG ,Generación,GNFG,"385,4"
UFMI,GNF MIÑO,UGH. GNF-MIÑO,18WUFMI-12345-0L,Hidráulica UGH,Venta,España,NTG ,Generación,GNFG,"941,1"
UFTA,GNF TAJO,UGH. GNF-TAJO,18WUFTA-12345-0O,Hidráulica UGH,Venta,España,NTG ,Generación,GNFG,"388,4"
ULEA,ULEA,ULEA,18WULEA-123456-O,Hidráulica UGH,Venta,España,SZR,Generación,BARER,"1,5"
ULSOC01,ULTREYA ,SOL ULTREYA COMERCIALIZADORA,18W000000000K0AJ,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ULSOL,"1,0"
UMEMC01,UMEME,UMEME UPR1,18W000000000F0ND,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,UMEME,"30,0"
